Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-04 10:30,Short Exit,20291.75,1,403170,-2675,-0.66,995,0.25,-2670,-0.66,-2675,-2.67
1,Entry short,2025-03-04 09:30,Short,20158.5,1,403170,-2675,-0.66,995,0.25,-2670,-0.66,-2675,-2.67
2,Exit short,2025-03-07 12:30,Short Exit,20156,1,400380,-2750,-0.69,5065,1.27,-2745,-0.69,-5425,-5.42
2,Entry short,2025-03-07 10:00,Short,20019,1,400380,-2750,-0.69,5065,1.27,-2745,-0.69,-5425,-5.42
3,Exit short,2025-03-10 12:30,Short Exit,19428.5,1,393360,4780,1.22,4785,1.22,-705,-0.18,-645,-0.64
3,Entry short,2025-03-10 09:30,Short,19668,1,393360,4780,1.22,4785,1.22,-705,-0.18,-645,-0.64
4,Exit short,2025-03-11 10:00,Short Exit,19467.25,1,386425,-2930,-0.76,1130,0.29,-2925,-0.76,-3575,-3.57
4,Entry short,2025-03-11 09:30,Short,19321.25,1,386425,-2930,-0.76,1130,0.29,-2925,-0.76,-3575,-3.57
5,Exit short,2025-04-03 10:30,Short Exit,18926.5,1,375310,-3230,-0.86,905,0.24,-3225,-0.86,-6805,-6.80
5,Entry short,2025-04-03 10:00,Short,18765.5,1,375310,-3230,-0.86,905,0.24,-3225,-0.86,-6805,-6.80
6,Exit short,2025-04-04 15:00,Short Exit,17435.25,1,358310,9595,2.68,9600,2.68,-4655,-1.30,2790,2.79
6,Entry short,2025-04-04 09:30,Short,17915.5,1,358310,9595,2.68,9600,2.68,-4655,-1.30,2790,2.79
7,Exit long,2025-05-13 15:30,EOD Close,21256.5,1,424215,905,0.21,2710,0.64,-480,-0.11,3695,3.70
7,Entry long,2025-05-13 09:30,Long,21210.75,1,424215,905,0.21,2710,0.64,-480,-0.11,3695,3.70
8,Exit long,2025-06-05 11:30,Long Exit,21765.75,1,437175,-1870,-0.43,1520,0.35,-1865,-0.43,1825,1.83
8,Entry long,2025-06-05 10:00,Long,21858.75,1,437175,-1870,-0.43,1520,0.35,-1865,-0.43,1825,1.83
9,Exit long,2025-06-10 15:30,EOD Close,21947.25,1,438990,-55,-0.01,850,0.19,-780,-0.18,1770,1.77
9,Entry long,2025-06-10 14:00,Long,21949.5,1,438990,-55,-0.01,850,0.19,-780,-0.18,1770,1.77
10,Exit long,2025-06-11 11:00,Long Exit,21961.75,1,440785,-1560,-0.35,535,0.12,-1555,-0.35,210,0.21
10,Entry long,2025-06-11 09:30,Long,22039.25,1,440785,-1560,-0.35,535,0.12,-1555,-0.35,210,0.21
11,Exit long,2025-06-16 15:30,EOD Close,22168.5,1,443960,-600,-0.14,475,0.11,-1225,-0.28,-390,-0.39
11,Entry long,2025-06-16 09:30,Long,22198,1,443960,-600,-0.14,475,0.11,-1225,-0.28,-390,-0.39
12,Exit long,2025-06-26 13:00,Long Exit,22663.25,1,451390,1865,0.41,1870,0.41,-395,-0.09,1475,1.48
12,Entry long,2025-06-26 09:30,Long,22569.5,1,451390,1865,0.41,1870,0.41,-395,-0.09,1475,1.48
13,Exit long,2025-06-27 12:30,Long Exit,22734.25,1,455675,-1000,-0.22,720,0.16,-995,-0.22,475,0.48
13,Entry long,2025-06-27 09:30,Long,22783.75,1,455675,-1000,-0.22,720,0.16,-995,-0.22,475,0.48
14,Exit long,2025-07-03 17:30,EOD Close,23050.5,1,461210,-210,-0.05,835,0.18,-775,-0.17,265,0.27
14,Entry long,2025-07-03 09:30,Long,23060.5,1,461210,-210,-0.05,835,0.18,-775,-0.17,265,0.27
15,Exit long,2025-07-21 11:00,Long Exit,23370.75,1,468350,-945,-0.20,140,0.03,-940,-0.20,-680,-0.68
15,Entry long,2025-07-21 09:30,Long,23417.5,1,468350,-945,-0.20,140,0.03,-940,-0.20,-680,-0.68
16,Exit long,2025-09-12 13:30,Long Exit,24145.75,1,481435,1470,0.31,1475,0.31,-150,-0.03,790,0.79
16,Entry long,2025-09-12 09:30,Long,24071.75,1,481435,1470,0.31,1475,0.31,-150,-0.03,790,0.79
17,Exit long,2025-09-18 14:00,Long Exit,24716.25,1,495740,-1425,-0.29,575,0.12,-1420,-0.29,-635,-0.63
17,Entry long,2025-09-18 09:30,Long,24787,1,495740,-1425,-0.29,575,0.12,-1420,-0.29,-635,-0.63
18,Exit long,2025-09-22 13:00,Long Exit,25003,1,498075,1975,0.40,1980,0.40,-280,-0.06,1340,1.34
18,Entry long,2025-09-22 09:30,Long,24903.75,1,498075,1975,0.40,1980,0.40,-280,-0.06,1340,1.34
19,Exit long,2025-10-27 14:30,Long Exit,25963.25,1,517380,1875,0.36,1880,0.36,-360,-0.07,3215,3.22
19,Entry long,2025-10-27 09:30,Long,25869,1,517380,1875,0.36,1880,0.36,-360,-0.07,3215,3.22
